Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Inside Out 2,/release/rl3638199041/?ref_=bo_yld_table_1,Walt Disney Studios Motion Pictures,154.0,,2024,PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",161.0,4440.0,Kelsey Mann,652.98,1045.0,1698.0
Deadpool & Wolverine,/release/rl4108092161/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,211.0,,2024,R,128.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",119.0,4330.0,Shawn Levy,636.745,701.154,1337.0
Despicable Me 4,/release/rl2603516673/?ref_=bo_yld_table_3,Universal Pictures,75.0,,2024,PG,94.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",142.0,4449.0,Chris Renaud,361.004,607.236,968.24
Beetlejuice Beetlejuice,/release/rl3365110529/?ref_=bo_yld_table_4,Warner Bros.,111.0,,2024,PG-13,105.0,"['Comedy', 'Fantasy', 'Horror']",77.0,4575.0,Tim Burton,294.072,157.0,451.072
Dune: Part Two,/release/rl68715265/?ref_=bo_yld_table_5,Warner Bros.,82.0,,2024,PG-13,166.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",266.0,4074.0,Denis Villeneuve,282.144,432.3,714.444
Twisters,/release/rl1324712705/?ref_=bo_yld_table_6,Universal Pictures,81.0,,2024,PG-13,122.0,"['Action', 'Adventure', 'Thriller']",126.0,4170.0,Lee Isaac Chung,267.762,103.2,370.962
Godzilla x Kong: The New Empire,/release/rl3351937793/?ref_=bo_yld_table_7,Warner Bros.,80.0,,2024,PG-13,115.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",238.0,3948.0,Adam Wingard,196.35,375.4,571.75
Kung Fu Panda 4,/release/rl601195265/?ref_=bo_yld_table_8,Universal Pictures,57.0,,2024,PG,94.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",259.0,4067.0,Mike Mitchell,193.59,354.044,547.634
Bad Boys: Ride or Die,/release/rl1386447617/?ref_=bo_yld_table_9,Sony Pictures Releasing,56.0,,2024,R,115.0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",168.0,3885.0,Adil El Arbi,193.573,210.935,404.509
Kingdom of the Planet of the Apes,/release/rl1678869249/?ref_=bo_yld_table_10,20th Century Studios,58.0,,2024,PG-13,145.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",196.0,4075.0,Wes Ball,171.13,226.247,397.378
It Ends with Us,/release/rl3818881793/?ref_=bo_yld_table_11,Sony Pictures Releasing,50.0,,2024,PG-13,130.0,"['Drama', 'Romance']",105.0,3839.0,Justin Baldoni,148.518,200.955,349.473
A Quiet Place: Day One,/release/rl545096449/?ref_=bo_yld_table_12,Paramount Pictures,52.0,,2024,PG-13,99.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",147.0,3708.0,Michael Sarnoski,138.93,122.855,261.786
The Wild Robot,/release/rl3443949569/?ref_=bo_yld_table_13,Universal Pictures,35.0,,2024,PG,102.0,"['Animation', 'Sci-Fi']",56.0,3997.0,Chris Sanders,138.727,171.143,309.87
Venom: The Last Dance,/release/rl3290006273/?ref_=bo_yld_table_14,Sony Pictures Releasing,51.0,,2024,PG-13,110.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",28.0,4131.0,Kelly Marcel,129.825,308.5,438.325
Ghostbusters: Frozen Empire,/release/rl1436779265/?ref_=bo_yld_table_15,Sony Pictures Releasing,45.0,,2024,PG-13,115.0,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",245.0,4345.0,Gil Kenan,113.376,88.48,201.856
IF,/release/rl3731915521/?ref_=bo_yld_table_16,Paramount Pictures,33.0,,2024,PG,104.0,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",189.0,4068.0,John Krasinski,111.149,79.159,190.309
Alien: Romulus,/release/rl654017281/?ref_=bo_yld_table_17,Walt Disney Studios Motion Pictures/IMAX,42.0,,2024,R,119.0,"['Horror', 'Sci-Fi', 'Thriller']",98.0,3915.0,Fede Alvarez,105.313,245.547,350.861
Bob Marley: One Love,/release/rl1496810241/?ref_=bo_yld_table_18,Paramount Pictures,28.0,,2024,PG-13,107.0,"['Biography', 'Drama', 'Music']",282.0,3597.0,Reinaldo Marcus Green,96.893,83.935,180.828
The Fall Guy,/release/rl752190209/?ref_=bo_yld_table_19,Universal Pictures,27.0,,2024,PG-13,126.0,"['Action', 'Comedy', 'Drama', 'Romance']",203.0,4008.0,David Leitch,92.9,88.172,181.073
The Garfield Movie,/release/rl382960385/?ref_=bo_yld_table_20,Sony Pictures Releasing,24.0,,2024,PG,101.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",182.0,4108.0,Mark Dindal,91.956,144.32,236.277
Wonka,/release/rl2942927617/?ref_=bo_yld_table_21,Warner Bros.,39.0,,2023,PG,116.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",343.0,4213.0,Paul King,218.402,416.0,634.402
Longlegs,/release/rl1733394433/?ref_=bo_yld_table_22,Neon,22.0,,2024,R,101.0,"['Crime', 'Horror', 'Thriller']",133.0,2850.0,Osgood Perkins,74.346,52.042,126.388
Migration,/release/rl83920385/?ref_=bo_yld_table_23,Universal Pictures,12.0,,2023,PG,83.0,"['Adventure', 'Animation', 'Comedy', 'Family']",336.0,3839.0,Benjamin Renner,127.306,172.556,299.863
Mean Girls,/release/rl615482113/?ref_=bo_yld_table_24,Paramount Pictures,28.0,,2024,PG-13,112.0,"['Comedy', 'Musical']",315.0,3826.0,Samantha Jayne,72.404,32.389,104.793
Civil War,/release/rl172392449/?ref_=bo_yld_table_25,A24,25.0,,2024,R,109.0,"['Action', 'Adventure', 'Thriller']",224.0,3929.0,Alex Garland,68.603,57.582,126.185
Furiosa: A Mad Max Saga,/release/rl627344129/?ref_=bo_yld_table_26,Warner Bros.,26.0,,2024,R,148.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",182.0,3864.0,George Miller,67.475,106.3,173.775
Smile 2,/release/rl665813761/?ref_=bo_yld_table_27,Paramount Pictures,23.0,,2024,R,127.0,"['Horror', 'Mystery', 'Thriller']",35.0,3624.0,Parker Finn,66.649,66.2,132.849
The Beekeeper,/release/rl2912715521/?ref_=bo_yld_table_28,Metro-Goldwyn-Mayer (MGM),16.0,,2024,R,105.0,"['Action', 'Crime', 'Thriller']",315.0,3337.0,David Ayer,66.22,86.5,152.72
Anyone But You,/release/rl3616572161/?ref_=bo_yld_table_29,Columbia Pictures,6.0,,2023,R,103.0,"['Comedy', 'Romance']",336.0,3055.0,Will Gluck,88.319,131.977,220.297
Transformers One,/release/rl3760947969/?ref_=bo_yld_table_30,Paramount Pictures,24.0,,2024,PG,104.0,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']",63.0,3978.0,Josh Cooley,59.054,69.833,128.888
Joker: Folie à Deux,/release/rl2339995649/?ref_=bo_yld_table_31,Warner Bros.,37.0,,2024,R,138.0,"['Crime', 'Drama', 'Musical', 'Thriller']",49.0,4102.0,Todd Phillips,58.3,148.1,206.4
Terrifier 3,/release/rl2221441025/?ref_=bo_yld_table_32,Cineverse,18.0,,2024,,125.0,['Horror'],42.0,2762.0,Damien Leone,53.981,32.919,86.9
Challengers,/release/rl2915664641/?ref_=bo_yld_table_33,United Artists Releasing,15.0,,2024,R,131.0,"['Comedy', 'Drama', 'Romance', 'Sport']",210.0,3477.0,Luca Guadagnino,50.119,45.9,96.019
Aquaman and the Lost Kingdom,/release/rl3003745793/?ref_=bo_yld_table_34,Warner Bros.,27.0,,2023,PG-13,124.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",336.0,3787.0,James Wan,124.481,314.9,439.381
Argylle,/release/rl4071392001/?ref_=bo_yld_table_35,Universal Pictures International (UPI),17.0,,2024,PG-13,139.0,"['Action', 'Comedy', 'Thriller']",294.0,3647.0,Matthew Vaughn,45.207,51.013,96.221
Madame Web,/release/rl1379697409/?ref_=bo_yld_table_36,Columbia Pictures,15.0,,2024,PG-13,116.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",282.0,4013.0,S.J. Clarkson,43.817,56.681,100.498
Trap,/release/rl562070273/?ref_=bo_yld_table_37,Warner Bros.,15.0,,2024,PG-13,105.0,"['Crime', 'Horror', 'Mystery', 'Thriller']",112.0,3181.0,M. Night Shyamalan,42.777,39.9,82.677
Red One,/release/rl2841083905/?ref_=bo_yld_table_38,,32.0,,2024,PG-13,123.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']",7.0,4032.0,Jake Kasdan,39.624,51.1,90.724
Speak No Evil,/release/rl999260929/?ref_=bo_yld_table_39,Universal Pictures,11.0,,2024,R,110.0,"['Drama', 'Horror', 'Thriller']",70.0,3375.0,James Watkins,36.931,39.811,76.743
The Strangers: Chapter 1,/release/rl793346049/?ref_=bo_yld_table_40,Lionsgate,11.0,,2024,R,91.0,['Horror'],189.0,2856.0,Renny Harlin,35.202,12.6,47.803
Coraline,/release/rl2607513601/?ref_=bo_yld_table_41,Fathom Events,9.0,60.0,2024,PG,100.0,"['Animation', 'Drama', 'Family', 'Fantasy']",99.0,1564.0,Henry Selick,33.626,18.745,52.371
Night Swim,/release/rl2046198529/?ref_=bo_yld_table_42,Universal Pictures International (UPI),11.0,,2024,PG-13,98.0,"['Horror', 'Thriller']",322.0,3257.0,Bryce McGuire,32.494,22.273,54.768
The Boys in the Boat,/release/rl43614977/?ref_=bo_yld_table_43,Amazon/MGM,8.0,,2023,PG-13,123.0,"['Biography', 'Drama', 'Sport']",333.0,2687.0,George Clooney,52.641,2.86,55.501
Reagan,/release/rl4133781505/?ref_=bo_yld_table_44,ShowBiz Direct,7.0,,2024,PG-13,141.0,"['Biography', 'Drama', 'History']",84.0,2770.0,Sean McNamara,30.047,0.059756000000000004,30.107
The Forge,/release/rl1795064577/?ref_=bo_yld_table_45,Affirm Films,6.0,,2024,PG,124.0,"['Drama', 'Family']",91.0,1921.0,Alex Kendrick,29.11,11.235,40.345
Horizon: An American Saga - Chapter 1,/release/rl3484517121/?ref_=bo_yld_table_46,Warner Bros.,11.0,,2024,R,181.0,"['Drama', 'Western']",147.0,3334.0,Kevin Costner,29.035,9.2,38.235
Imaginary,/release/rl3180495617/?ref_=bo_yld_table_47,Lionsgate,9.0,,2024,PG-13,104.0,"['Horror', 'Mystery', 'Thriller']",259.0,3118.0,Jeff Wadlow,28.009,15.777,43.787
Conclave,/release/rl3898179585/?ref_=bo_yld_table_48,Focus Features,6.0,,2024,PG,120.0,"['Drama', 'Thriller']",28.0,2377.0,Edward Berger,27.864,2.329,30.193
Abigail,/release/rl1488880385/?ref_=bo_yld_table_49,Universal Pictures,10.0,,2024,R,109.0,"['Horror', 'Thriller']",217.0,3393.0,Matt Bettinelli-Olpin,25.867,16.922,42.789
Monkey Man,/release/rl290357249/?ref_=bo_yld_table_50,Universal Pictures,10.0,,2024,R,121.0,"['Action', 'Crime', 'Thriller']",231.0,3037.0,Dev Patel,25.116,10.154,35.271
Arthur the King,/release/rl1589609217/?ref_=bo_yld_table_51,Lionsgate,7.0,,2024,PG-13,107.0,"['Adventure', 'Drama', 'Sport']",252.0,3003.0,Simon Cellan Jones,25.049,15.78,40.829
We Live in Time,/release/rl2825682945/?ref_=bo_yld_table_52,A24,0.232,,2024,R,108.0,"['Drama', 'Romance']",42.0,2968.0,John Crowley,24.339,5.133,29.472
Poor Things,/release/rl3566306049/?ref_=bo_yld_table_53,Searchlight Pictures,0.661,,2023,R,141.0,"['Comedy', 'Drama', 'Romance', 'Sci-Fi']",350.0,2300.0,Yorgos Lanthimos,34.553,83.072,117.625
Blink Twice,/release/rl4082008065/?ref_=bo_yld_table_54,Amazon/MGM,7.0,,2024,R,102.0,"['Mystery', 'Thriller']",91.0,3067.0,Zoë Kravitz,23.093,23.3,46.393
Heretic,/release/rl2876014593/?ref_=bo_yld_table_55,A24,10.0,,2024,R,111.0,"['Horror', 'Thriller']",14.0,3230.0,Scott Beck,22.533,7.141,29.674
The Best Christmas Pageant Ever,/release/rl457277441/?ref_=bo_yld_table_56,Lionsgate,10.0,,2024,PG,99.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']",14.0,3020.0,Dallas Jenkins,22.015,0.068179,22.084
The Bikeriders,/release/rl620462849/?ref_=bo_yld_table_57,Focus Features,9.0,,2024,R,116.0,"['Crime', 'Drama']",154.0,2692.0,Jeff Nichols,21.714,14.257,35.971
The Ministry of Ungentlemanly Warfare,/release/rl3964305409/?ref_=bo_yld_table_58,Lionsgate,8.0,,2024,R,122.0,"['Action', 'Comedy', 'War']",217.0,2845.0,Guy Ritchie,20.535,6.439,26.974
Fly Me to the Moon,/release/rl810057729/?ref_=bo_yld_table_59,Columbia Pictures,9.0,,2024,PG-13,132.0,"['Comedy', 'Romance']",133.0,3356.0,Greg Berlanti,20.532,21.693,42.225
Unsung Hero,/release/rl832733953/?ref_=bo_yld_table_60,Lionsgate,7.0,,2024,PG,113.0,"['Drama', 'Family']",210.0,2832.0,Richard L. Ramsey,20.335,0.879092,21.214
The First Omen,/release/rl591495169/?ref_=bo_yld_table_61,Walt Disney Studios Motion Pictures,8.0,,2024,R,119.0,['Horror'],231.0,3375.0,Arkasha Stevenson,20.092,33.753,53.845
Cabrini,/release/rl776962049/?ref_=bo_yld_table_62,Angel Studios,7.0,,2024,PG-13,142.0,"['Biography', 'Drama']",259.0,2850.0,Alejandro Monteverde,19.512,0.9487810000000001,20.46
American Fiction,/release/rl2073330433/?ref_=bo_yld_table_63,Metro-Goldwyn-Mayer (MGM),0.224,,,R,117.0,"['Comedy', 'Drama']",343.0,1902.0,Cord Jefferson,21.098,1.384,22.483
