Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Barbie,/release/rl1077904129/?ref_=bo_yld_table_1,Warner Bros.,162.0,,2023,PG-13,114.0,"['Adventure', 'Comedy', 'Fantasy']",491.0,4337.0,Greta Gerwig,636.238,810.7,1446.0
The Super Mario Bros. Movie,/release/rl1930593025/?ref_=bo_yld_table_2,Universal Pictures,146.0,,2023,PG,92.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",271.0,4371.0,Aaron Horvath,574.934,785.913,1360.0
Spider-Man: Across the Spider-Verse,/release/rl2812183041/?ref_=bo_yld_table_3,Columbia Pictures,120.0,,2023,PG,140.0,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']",213.0,4332.0,Joaquim Dos Santos,381.311,309.23,690.542
Guardians of the Galaxy Vol. 3,/release/rl2977202945/?ref_=bo_yld_table_4,Walt Disney Studios Motion Pictures,118.0,,2023,PG-13,150.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",241.0,4450.0,James Gunn,358.995,486.559,845.555
Oppenheimer,/release/rl3725886209/?ref_=bo_yld_table_5,Universal Pictures,82.0,,2023,R,180.0,"['Biography', 'Drama', 'History']",491.0,3761.0,Christopher Nolan,329.862,645.732,975.594
The Little Mermaid,/release/rl1913750273/?ref_=bo_yld_table_6,Walt Disney Studios Motion Pictures,95.0,,2023,PG,135.0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",220.0,4320.0,Rob Marshall,298.172,271.454,569.626
Avatar: The Way of Water,/release/rl3372254721/?ref_=bo_yld_table_7,20th Century Studios,134.0,,2023,PG-13,192.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",381.0,4340.0,James Cameron,684.075,1636.0,2320.0
Ant-Man and the Wasp: Quantumania,/release/rl3195306753/?ref_=bo_yld_table_8,Walt Disney Studios Motion Pictures,106.0,,2023,PG-13,124.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",318.0,4345.0,Peyton Reed,214.504,261.566,476.071
John Wick: Chapter 4,/release/rl1644725761/?ref_=bo_yld_table_9,Lionsgate,73.0,,2023,R,169.0,"['Action', 'Crime', 'Thriller']",283.0,3855.0,Chad Stahelski,187.131,253.048,440.18
Sound of Freedom,/release/rl4254237441/?ref_=bo_yld_table_10,Angel Studios,19.0,,2023,PG-13,131.0,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']",508.0,3411.0,Alejandro Monteverde,184.178,66.392,250.57
Taylor Swift: The Eras Tour,/release/rl4054352641/?ref_=bo_yld_table_11,AMC Theaters,93.0,,2023,PG-13,169.0,"['Documentary', 'Music', 'Musical']",407.0,3855.0,Sam Wrench,180.756,80.9,261.656
Indiana Jones and the Dial of Destiny,/release/rl2776598017/?ref_=bo_yld_table_12,Walt Disney Studios Motion Pictures,60.0,,2023,PG-13,154.0,"['Action', 'Adventure', 'Sci-Fi']",185.0,4600.0,James Mangold,174.48,209.482,383.963
Mission: Impossible - Dead Reckoning Part One,/release/rl1896449537/?ref_=bo_yld_table_13,Paramount Pictures,54.0,291.0,2023,PG-13,163.0,"['Action', 'Adventure', 'Thriller']",173.0,4327.0,Christopher McQuarrie,172.135,398.484,570.619
The Hunger Games: The Ballad of Songbirds & Snakes,/release/rl1262387969/?ref_=bo_yld_table_14,Lionsgate,44.0,,2023,PG-13,157.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller', 'War']",372.0,3776.0,Francis Lawrence,166.35,182.549,348.9
Transformers: Rise of the Beasts,/release/rl1606320641/?ref_=bo_yld_table_15,Paramount Pictures,61.0,,2023,PG-13,127.0,"['Action', 'Adventure', 'Sci-Fi']",206.0,3680.0,Steven Caple Jr.,157.066,284.314,441.381
