Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Spider-Man: No Way Home,/release/rl2869659137/?ref_=bo_yld_table_1,Sony Pictures Releasing,260.0,,2022,PG-13,148.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",380.0,4336.0,Jon Watts,804.793,1106.0,1910.0
Shang-Chi and the Legend of the Ten Rings,/release/rl3490022913/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,75.0,,2021,PG-13,132.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",126.0,4300.0,Destin Daniel Cretton,224.543,207.7,432.243
Venom: Let There Be Carnage,/release/rl1908310529/?ref_=bo_yld_table_3,Sony Pictures Releasing,90.0,,2022,PG-13,97.0,"['Action', 'Sci-Fi', 'Thriller']",457.0,4225.0,Andy Serkis,213.55,293.263,506.813
Black Widow,/release/rl2122089985/?ref_=bo_yld_table_4,Walt Disney Studios Motion Pictures,80.0,,2021,PG-13,134.0,"['Action', 'Adventure', 'Sci-Fi']",176.0,4275.0,Cate Shortland,183.651,196.1,379.751
F9: The Fast Saga,/release/rl192906753/?ref_=bo_yld_table_5,Universal Pictures,70.0,,2021,PG-13,143.0,"['Action', 'Crime', 'Thriller']",196.0,4203.0,Justin Lin,173.005,553.223,726.229
Eternals,/release/rl2138867201/?ref_=bo_yld_table_6,Walt Disney Studios Motion Pictures,71.0,,2021,PG-13,156.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",422.0,4090.0,Chloé Zhao,164.87,237.194,402.064
No Time to Die,/release/rl4077159937/?ref_=bo_yld_table_7,Metro-Goldwyn-Mayer (MGM),55.0,,2021,PG-13,163.0,"['Action', 'Adventure', 'Thriller']",450.0,4407.0,Cary Joji Fukunaga,160.891,613.262,774.153
A Quiet Place Part II,/release/rl2819065345/?ref_=bo_yld_table_8,Paramount Pictures,47.0,,2021,PG-13,97.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",218.0,3744.0,John Krasinski,160.072,137.3,297.372
Ghostbusters: Afterlife,/release/rl319391233/?ref_=bo_yld_table_9,Sony Pictures Releasing,44.0,,2022,PG-13,124.0,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",408.0,4315.0,Jason Reitman,129.36,74.973,204.334
Free Guy,/release/rl1158252033/?ref_=bo_yld_table_10,20th Century Studios,28.0,,2021,PG-13,115.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",147.0,4165.0,Shawn Levy,121.626,209.9,331.526
Jungle Cruise,/release/rl3657795073/?ref_=bo_yld_table_11,Walt Disney Studios Motion Pictures,35.0,,2021,PG-13,127.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",161.0,4310.0,Jaume Collet-Serra,116.987,103.901,220.889
Godzilla vs. Kong,/release/rl1383892481/?ref_=bo_yld_table_12,Warner Bros.,31.0,,2021,PG-13,113.0,"['Action', 'Sci-Fi', 'Thriller']",282.0,3084.0,Adam Wingard,100.916,369.2,470.116
Dune: Part One,/release/rl3162015233/?ref_=bo_yld_table_13,Warner Bros.,41.0,,2022,PG-13,155.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",436.0,4125.0,Denis Villeneuve,108.327,293.8,402.127
Halloween Kills,/release/rl319063553/?ref_=bo_yld_table_14,Universal Pictures,49.0,20.0,2021,R,105.0,"['Action', 'Drama', 'Horror', 'Thriller']",84.0,3727.0,David Gordon Green,92.002,39.645,131.647
Encanto,/release/rl1887208961/?ref_=bo_yld_table_15,Walt Disney Studios Motion Pictures,27.0,,2021,PG,102.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",403.0,3980.0,Jared Bush,96.093,160.693,256.786
Cruella,/release/rl3708126721/?ref_=bo_yld_table_16,Walt Disney Studios Motion Pictures,21.0,,2021,PG-13,134.0,"['Adventure', 'Comedy', 'Crime', 'Drama']",218.0,3922.0,Craig Gillespie,86.103,147.4,233.503
Sing 2,/release/rl302024193/?ref_=bo_yld_table_17,Universal Pictures,22.0,,2021,PG,110.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",375.0,3892.0,Garth Jennings,162.79,245.611,408.402
