Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Most Eligible Bachelor,/release/rl2786493185/?ref_=bo_yld_table_154,,"$470,000",-,"Oct 15, 2021",,2 hr 50 min,"['Drama', 'Romance']",78 days/11 weeks,195 theaters,"Bommarillu Baskar

","
$470,000
","
$84,866
","
$554,866
"
Tenet,/release/rl1442940417/?ref_=bo_yld_table_155,Warner Bros.,"$9,353,090",-,"Sep 3, 2020",PG-13,2 hr 30 min,"['Action', 'Sci-Fi', 'Thriller']",491 days/70 weeks,"2,930 theaters","Christopher Nolan

","
$58,504,105
","
$306,800,000
","
$365,304,105
"
World War Z,/release/rl2658894593/?ref_=bo_yld_table_156,Paramount Pictures,"$347,000","$190,000,000","May 28, 2021",PG-13,1 hr 56 min,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",218 days/31 weeks,80 theaters,"Marc Forster

","
$448,000
","
–
","
$448,000
"
The Lost Leonardo,/release/rl1970766593/?ref_=bo_yld_table_157,Sony Pictures Classics,"$12,487",-,"Aug 13, 2021",PG-13,1 hr 36 min,"['Documentary', 'Mystery']",147 days/21 weeks,217 theaters,"Andreas Koefoed

","
$445,740
","
$154,448
","
$600,188
"
2021 Oscar Nominated Short Films: Live Action,/release/rl3178267393/?ref_=bo_yld_table_158,Magnolia Pictures,"$81,113",-,"Apr 2, 2021",,2 hr 10 min,['Talk-Show'],274 days/39 weeks,184 theaters,"Travon Free

","
$443,050
","
–
","
$443,050
"
Flag Day,/release/rl3758850817/?ref_=bo_yld_table_159,United Artists Releasing,"$42,953",-,"Aug 20, 2021
            -
            Sep 30, 2021",R,1 hr 49 min,"['Crime', 'Drama']",134 days/19 weeks,196 theaters,"Sean Penn

","
$424,667
","
$876,757
","
$1,301,424
"
Willy's Wonderland,/release/rl879395585/?ref_=bo_yld_table_160,Screen Media Films,"$97,164",-,"Feb 12, 2021",,1 hr 28 min,"['Action', 'Comedy', 'Horror', 'Thriller']",323 days/46 weeks,171 theaters,"Kevin Lewis

","
$418,286
","
$38,858
","
$457,144
"
Top Gun,/release/rl3061285633/?ref_=bo_yld_table_161,Paramount Pictures,"$214,654",-,"May 14, 2021",,1 hr 49 min,"['Action', 'Drama']",232 days/33 weeks,153 theaters,"Tony Scott

","
$457,577
","
$32,442
","
$491,920
"
Dutch,/release/rl2573632257/?ref_=bo_yld_table_162,Faith Media Distribution,"$135,015",-,"Mar 12, 2021",R,1 hr 49 min,['Action'],295 days/42 weeks,202 theaters,"Preston A. Whitmore II

","
$404,371
","
–
","
$404,371
"
Ghostbusters,/release/rl1830322945/?ref_=bo_yld_table_163,Sony Pictures Classics,"$304,317","$30,000,000","Oct 29, 2021",,1 hr 45 min,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",64 days/9 weeks,774 theaters,"Ivan Reitman

","
$391,718
","
–
","
$393,258
"
The Metropolitan Opera HD Live: Mussorgsky: Boris Godunov,/release/rl890733313/?ref_=bo_yld_table_164,Fathom Events,"$387,000",-,"Oct 8, 2021",,,['Musical'],85 days/12 weeks,791 theaters,"Gary Halvorson

","
$387,000
","
$187,167
","
$574,167
"
Crisis,/release/rl2808578817/?ref_=bo_yld_table_165,Quiver Distribution,"$190,649",-,"Feb 26, 2021",R,1 hr 58 min,"['Drama', 'Thriller']",309 days/44 weeks,216 theaters,"Nicholas Jarecki

","
$404,738
","
$694,688
","
$1,099,426
"
Red Rocket,/release/rl2098365185/?ref_=bo_yld_table_166,A24,"$88,195",-,"Dec 10, 2021",R,2 hr 10 min,"['Comedy', 'Drama']",387 days/55 weeks,385 theaters,"Sean Baker

","
$1,023,086
","
$1,292,918
","
$2,316,004
"
Julia,/release/rl2550956801/?ref_=bo_yld_table_167,Sony Pictures Classics,"$18,010",-,"Nov 12, 2021",PG-13,1 hr 35 min,"['Biography', 'Documentary']",415 days/59 weeks,288 theaters,"Julie Cohen

","
$399,811
","
$93,269
","
$493,080
"
Ghost in the Shell,/release/rl185434881/?ref_=bo_yld_table_168,Lionsgate,"$220,389",-,"Sep 17, 2021",,1 hr 23 min,"['Action', 'Animation', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",106 days/15 weeks,124 theaters,"Mamoru Oshii

","
$373,169
","
–
","
$373,169
"
The Dry,/release/rl393052929/?ref_=bo_yld_table_169,IFC Films,"$119,364",-,"May 21, 2021",R,1 hr 57 min,"['Crime', 'Drama', 'Mystery', 'Thriller']",225 days/32 weeks,186 theaters,"Robert Connolly

","
$364,237
","
$15,212,049
","
$15,576,286
"
"Dad, I'm Sorry",/release/rl3950740225/?ref_=bo_yld_table_170,3388 Films,"$350,000",-,"May 28, 2021",,2 hr 8 min,"['Comedy', 'Drama', 'Family']",218 days/31 weeks,,"Tran Thanh

","
$350,000
","
$17,130,489
","
$17,480,489
"
The Battle at Lake Changjin,/release/rl673088257/?ref_=bo_yld_table_171,CMC Pictures,"$105,768",-,"Nov 19, 2021",,2 hr 56 min,"['Action', 'Drama', 'History', 'War']",408 days/58 weeks,20 theaters,"Kaige Chen

","
$342,411
","
$902,206,065
","
$902,548,476
"
The Emperor's New Groove,/release/rl3194585857/?ref_=bo_yld_table_172,Walt Disney Studios Motion Pictures,"$160,000","$100,000,000","Jan 15, 2021",,1 hr 18 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",351 days/50 weeks,744 theaters,"Mark Dindal

","
$334,000
","
$520
","
$373,682
"
Benedetta,/release/rl3825959681/?ref_=bo_yld_table_173,IFC Films,"$136,839",-,"Dec 3, 2021",,2 hr 11 min,"['Biography', 'Drama', 'Romance']",394 days/56 weeks,201 theaters,"Paul Verhoeven

","
$354,481
","
$3,910,872
","
$4,265,353
"
Freaky,/release/rl1699840769/?ref_=bo_yld_table_174,Universal Pictures,"$3,600,355",-,"Nov 13, 2020",R,1 hr 42 min,"['Comedy', 'Horror', 'Thriller']",414 days/59 weeks,"2,472 theaters","Christopher Landon

","
$9,030,855
","
$9,042,578
","
$18,073,433
"
Drive My Car,/release/rl404194049/?ref_=bo_yld_table_175,Janus Films,"$13,775",-,"Nov 24, 2021",,2 hr 59 min,['Drama'],403 days/57 weeks,213 theaters,"Ryûsuke Hamaguchi

","
$2,352,240
","
$13,005,099
","
$15,357,339
"
Final Account,/release/rl309035777/?ref_=bo_yld_table_176,Focus Features,"$139,985",-,"May 21, 2021",PG-13,1 hr 34 min,['Documentary'],225 days/32 weeks,308 theaters,"Luke Holland

","
$308,976
","
$44,101
","
$353,077
"
The Water Man,/release/rl3194913537/?ref_=bo_yld_table_177,RLJE Films,"$181,046",-,"May 7, 2021",PG,1 hr 31 min,"['Adventure', 'Drama', 'Family', 'Fantasy']",239 days/34 weeks,311 theaters,"David Oyelowo

","
$383,234
","
–
","
$383,234
"
New Order,/release/rl2742518529/?ref_=bo_yld_table_178,Neon,"$144,533",-,"May 21, 2021",R,1 hr 26 min,"['Crime', 'Drama', 'Sci-Fi', 'Thriller']",225 days/32 weeks,236 theaters,"Michel Franco

","
$303,556
","
$1,521,935
","
$1,825,491
"
India Sweets and Spices,/release/rl2333901569/?ref_=bo_yld_table_179,Bleecker Street Media,"$170,629",-,"Nov 19, 2021",PG-13,1 hr 41 min,['Comedy'],49 days/7 weeks,343 theaters,"Geeta Malik

","
$288,714
","
$42,614
","
$331,328
"
