Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Barbie,/release/rl1077904129/?ref_=bo_yld_table_1,Warner Bros.,"$162,022,044",-,"Jul 21, 2023",PG-13,1 hr 54 min,"['Adventure', 'Comedy', 'Fantasy']",491 days/70 weeks,"4,337 theaters","Greta Gerwig

","
$636,238,421
","
$810,700,000
","
$1,446,938,421
"
The Super Mario Bros. Movie,/release/rl1930593025/?ref_=bo_yld_table_2,Universal Pictures,"$146,361,865",-,"Apr 5, 2023
            -
            Sep 7, 2023",PG,1 hr 32 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",271 days/38 weeks,"4,371 theaters","Aaron Horvath

","
$574,934,330
","
$785,913,335
","
$1,360,847,665
"
Spider-Man: Across the Spider-Verse,/release/rl2812183041/?ref_=bo_yld_table_3,Columbia Pictures,"$120,663,589",-,"Jun 2, 2023
            -
            Sep 14, 2023",PG,2 hr 20 min,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']",213 days/30 weeks,"4,332 theaters","Joaquim Dos Santos

","
$381,311,319
","
$309,230,984
","
$690,542,303
"
Guardians of the Galaxy Vol. 3,/release/rl2977202945/?ref_=bo_yld_table_4,Walt Disney Studios Motion Pictures,"$118,414,021",-,"May 5, 2023",PG-13,2 hr 30 min,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",241 days/34 weeks,"4,450 theaters","James Gunn

","
$358,995,815
","
$486,559,962
","
$845,555,777
"
Oppenheimer,/release/rl3725886209/?ref_=bo_yld_table_5,Universal Pictures,"$82,455,420",-,"Jul 21, 2023",R,3 hr,"['Biography', 'Drama', 'History']",491 days/70 weeks,"3,761 theaters","Christopher Nolan

","
$329,862,540
","
$645,732,438
","
$975,594,978
"
The Little Mermaid,/release/rl1913750273/?ref_=bo_yld_table_6,Walt Disney Studios Motion Pictures,"$95,578,040",-,"May 26, 2023
            -
            Sep 14, 2023",PG,2 hr 15 min,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",220 days/31 weeks,"4,320 theaters","Rob Marshall

","
$298,172,056
","
$271,454,233
","
$569,626,289
"
Avatar: The Way of Water,/release/rl3372254721/?ref_=bo_yld_table_7,20th Century Studios,"$134,100,226",-,"Dec 16, 2022
            -
            May 25, 2023",PG-13,3 hr 12 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",381 days/54 weeks,"4,340 theaters","James Cameron

","
$684,075,767
","
$1,636,174,514
","
$2,320,250,281
"
Ant-Man and the Wasp: Quantumania,/release/rl3195306753/?ref_=bo_yld_table_8,Walt Disney Studios Motion Pictures,"$106,109,650",-,"Feb 17, 2023
            -
            Jun 15, 2023",PG-13,2 hr 4 min,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",318 days/45 weeks,"4,345 theaters","Peyton Reed

","
$214,504,909
","
$261,566,271
","
$476,071,180
"
John Wick: Chapter 4,/release/rl1644725761/?ref_=bo_yld_table_9,Lionsgate,"$73,817,950",-,"Mar 24, 2023
            -
            Jun 15, 2023",R,2 hr 49 min,"['Action', 'Crime', 'Thriller']",283 days/40 weeks,"3,855 theaters","Chad Stahelski

","
$187,131,806
","
$253,048,469
","
$440,180,275
"
Sound of Freedom,/release/rl4254237441/?ref_=bo_yld_table_10,Angel Studios,"$19,680,879",-,"Jul 4, 2023",PG-13,2 hr 11 min,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']",508 days/72 weeks,"3,411 theaters","Alejandro Monteverde

","
$184,178,046
","
$66,392,350
","
$250,570,396
"
Taylor Swift: The Eras Tour,/release/rl4054352641/?ref_=bo_yld_table_11,AMC Theaters,"$93,224,755",-,"Oct 13, 2023",PG-13,2 hr 49 min,"['Documentary', 'Music', 'Musical']",407 days/58 weeks,"3,855 theaters","Sam Wrench

","
$180,756,269
","
$80,900,000
","
$261,656,269
"
Indiana Jones and the Dial of Destiny,/release/rl2776598017/?ref_=bo_yld_table_12,Walt Disney Studios Motion Pictures,"$60,368,101",-,"Jun 30, 2023
            -
            Sep 14, 2023",PG-13,2 hr 34 min,"['Action', 'Adventure', 'Sci-Fi']",185 days/26 weeks,"4,600 theaters","James Mangold

","
$174,480,468
","
$209,482,589
","
$383,963,057
"
Mission: Impossible - Dead Reckoning Part One,/release/rl1896449537/?ref_=bo_yld_table_13,Paramount Pictures,"$54,688,347","$291,000,000","Jul 12, 2023
            -
            Sep 21, 2023",PG-13,2 hr 43 min,"['Action', 'Adventure', 'Thriller']",173 days/24 weeks,"4,327 theaters","Christopher McQuarrie

","
$172,135,383
","
$398,484,455
","
$570,619,838
"
The Hunger Games: The Ballad of Songbirds & Snakes,/release/rl1262387969/?ref_=bo_yld_table_14,Lionsgate,"$44,607,143",-,"Nov 17, 2023",PG-13,2 hr 37 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller', 'War']",372 days/53 weeks,"3,776 theaters","Francis Lawrence

","
$166,350,594
","
$182,549,425
","
$348,900,019
"
Transformers: Rise of the Beasts,/release/rl1606320641/?ref_=bo_yld_table_15,Paramount Pictures,"$61,045,464",-,"Jun 9, 2023",PG-13,2 hr 7 min,"['Action', 'Adventure', 'Sci-Fi']",206 days/29 weeks,"3,680 theaters","Steven Caple Jr.

","
$157,066,392
","
$284,314,801
","
$441,381,193
"
Creed III,/release/rl1713734401/?ref_=bo_yld_table_16,United Artists Releasing,"$58,370,007",-,"Mar 3, 2023
            -
            May 18, 2023",PG-13,1 hr 56 min,"['Action', 'Drama', 'Sport']",304 days/43 weeks,"4,007 theaters","Michael B. Jordan

","
$156,248,615
","
$119,900,000
","
$276,148,615
"
Elemental,/release/rl1811383041/?ref_=bo_yld_table_17,Walt Disney Studios Motion Pictures,"$29,602,429",-,"Jun 16, 2023
            -
            Sep 28, 2023",PG,1 hr 41 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",199 days/28 weeks,"4,035 theaters","Peter Sohn

","
$154,426,697
","
$342,017,611
","
$496,444,308
"
Fast X,/release/rl209683969/?ref_=bo_yld_table_18,Universal Pictures,"$67,017,410",-,"May 19, 2023",PG-13,2 hr 21 min,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",554 days/79 weeks,"4,088 theaters","Louis Leterrier

","
$146,126,015
","
$558,749,000
","
$704,875,015
"
