Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Inside Out 2,/release/rl3638199041/?ref_=bo_yld_table_1,Walt Disney Studios Motion Pictures,"$154,201,673",-,"Jun 14, 2024",PG,1 hr 36 min,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",161 days/23 weeks,"4,440 theaters","Kelsey Mann

","
$652,980,194
","
$1,045,237,759
","
$1,698,217,953
"
Deadpool & Wolverine,/release/rl4108092161/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,"$211,435,291",-,"Jul 26, 2024",R,2 hr 8 min,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",119 days/17 weeks,"4,330 theaters","Shawn Levy

","
$636,745,858
","
$701,154,969
","
$1,337,900,827
"
Despicable Me 4,/release/rl2603516673/?ref_=bo_yld_table_3,Universal Pictures,"$75,009,210",-,"Jul 3, 2024",PG,1 hr 34 min,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",142 days/20 weeks,"4,449 theaters","Chris Renaud

","
$361,004,205
","
$607,236,505
","
$968,240,710
"
Beetlejuice Beetlejuice,/release/rl3365110529/?ref_=bo_yld_table_4,Warner Bros.,"$111,003,345",-,"Sep 6, 2024",PG-13,1 hr 45 min,"['Comedy', 'Fantasy', 'Horror']",77 days/11 weeks,"4,575 theaters","Tim Burton

","
$294,072,781
","
$157,000,000
","
$451,072,781
"
Dune: Part Two,/release/rl68715265/?ref_=bo_yld_table_5,Warner Bros.,"$82,505,391",-,"Mar 1, 2024",PG-13,2 hr 46 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",266 days/38 weeks,"4,074 theaters","Denis Villeneuve

","
$282,144,358
","
$432,300,000
","
$714,444,358
"
Twisters,/release/rl1324712705/?ref_=bo_yld_table_6,Universal Pictures,"$81,251,415",-,"Jul 19, 2024",PG-13,2 hr 2 min,"['Action', 'Adventure', 'Thriller']",126 days/18 weeks,"4,170 theaters","Lee Isaac Chung

","
$267,762,265
","
$103,200,000
","
$370,962,265
"
Godzilla x Kong: The New Empire,/release/rl3351937793/?ref_=bo_yld_table_7,Warner Bros.,"$80,006,561",-,"Mar 29, 2024",PG-13,1 hr 55 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",238 days/34 weeks,"3,948 theaters","Adam Wingard

","
$196,350,016
","
$375,400,000
","
$571,750,016
"
Kung Fu Panda 4,/release/rl601195265/?ref_=bo_yld_table_8,Universal Pictures,"$57,989,905",-,"Mar 8, 2024",PG,1 hr 34 min,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",259 days/37 weeks,"4,067 theaters","Mike Mitchell

","
$193,590,620
","
$354,044,055
","
$547,634,675
"
Bad Boys: Ride or Die,/release/rl1386447617/?ref_=bo_yld_table_9,Sony Pictures Releasing,"$56,527,324",-,"Jun 7, 2024",R,1 hr 55 min,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",168 days/24 weeks,"3,885 theaters","Adil El Arbi

","
$193,573,217
","
$210,935,853
","
$404,509,070
"
Kingdom of the Planet of the Apes,/release/rl1678869249/?ref_=bo_yld_table_10,20th Century Studios,"$58,400,788",-,"May 10, 2024",PG-13,2 hr 25 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",196 days/28 weeks,"4,075 theaters","Wes Ball

","
$171,130,165
","
$226,247,985
","
$397,378,150
"
It Ends with Us,/release/rl3818881793/?ref_=bo_yld_table_11,Sony Pictures Releasing,"$50,016,652",-,"Aug 9, 2024",PG-13,2 hr 10 min,"['Drama', 'Romance']",105 days/15 weeks,"3,839 theaters","Justin Baldoni

","
$148,518,266
","
$200,955,523
","
$349,473,789
"
A Quiet Place: Day One,/release/rl545096449/?ref_=bo_yld_table_12,Paramount Pictures,"$52,202,495",-,"Jun 28, 2024",PG-13,1 hr 39 min,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",147 days/21 weeks,"3,708 theaters","Michael Sarnoski

","
$138,930,553
","
$122,855,769
","
$261,786,322
"
The Wild Robot,/release/rl3443949569/?ref_=bo_yld_table_13,Universal Pictures,"$35,790,150",-,"Sep 27, 2024",PG,1 hr 42 min,"['Animation', 'Sci-Fi']",56 days/8 weeks,"3,997 theaters","Chris Sanders

","
$138,727,420
","
$171,143,000
","
$309,870,420
"
Venom: The Last Dance,/release/rl3290006273/?ref_=bo_yld_table_14,Sony Pictures Releasing,"$51,012,404",-,"Oct 25, 2024",PG-13,1 hr 50 min,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",28 days/4 weeks,"4,131 theaters","Kelly Marcel

","
$129,825,476
","
$308,500,000
","
$438,325,476
"
Ghostbusters: Frozen Empire,/release/rl1436779265/?ref_=bo_yld_table_15,Sony Pictures Releasing,"$45,004,673",-,"Mar 22, 2024",PG-13,1 hr 55 min,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",245 days/35 weeks,"4,345 theaters","Gil Kenan

","
$113,376,590
","
$88,480,067
","
$201,856,657
"
IF,/release/rl3731915521/?ref_=bo_yld_table_16,Paramount Pictures,"$33,715,801",-,"May 17, 2024",PG,1 hr 44 min,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",189 days/27 weeks,"4,068 theaters","John Krasinski

","
$111,149,917
","
$79,159,790
","
$190,309,707
"
Alien: Romulus,/release/rl654017281/?ref_=bo_yld_table_17,Walt Disney Studios Motion Pictures/IMAX,"$42,003,361",-,"Aug 16, 2024",R,1 hr 59 min,"['Horror', 'Sci-Fi', 'Thriller']",98 days/14 weeks,"3,915 theaters","Fede Alvarez

","
$105,313,091
","
$245,547,940
","
$350,861,031
"
Bob Marley: One Love,/release/rl1496810241/?ref_=bo_yld_table_18,Paramount Pictures,"$28,659,004",-,"Feb 14, 2024
            -
            Apr 25, 2024",PG-13,1 hr 47 min,"['Biography', 'Drama', 'Music']",282 days/40 weeks,"3,597 theaters","Reinaldo Marcus Green

","
$96,893,170
","
$83,935,386
","
$180,828,556
"
The Fall Guy,/release/rl752190209/?ref_=bo_yld_table_19,Universal Pictures,"$27,747,035",-,"May 3, 2024",PG-13,2 hr 6 min,"['Action', 'Comedy', 'Drama', 'Romance']",203 days/29 weeks,"4,008 theaters","David Leitch

","
$92,900,355
","
$88,172,936
","
$181,073,291
"
The Garfield Movie,/release/rl382960385/?ref_=bo_yld_table_20,Sony Pictures Releasing,"$24,006,629",-,"May 24, 2024",PG,1 hr 41 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",182 days/26 weeks,"4,108 theaters","Mark Dindal

","
$91,956,547
","
$144,320,979
","
$236,277,526
"
Wonka,/release/rl2942927617/?ref_=bo_yld_table_21,Warner Bros.,"$39,005,800",-,"Dec 15, 2023",PG,1 hr 56 min,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",343 days/49 weeks,"4,213 theaters","Paul King

","
$218,402,312
","
$416,000,000
","
$634,402,312
"
Longlegs,/release/rl1733394433/?ref_=bo_yld_table_22,Neon,"$22,400,119",-,"Jul 12, 2024",R,1 hr 41 min,"['Crime', 'Horror', 'Thriller']",133 days/19 weeks,"2,850 theaters","Osgood Perkins

","
$74,346,140
","
$52,042,039
","
$126,388,179
"
Migration,/release/rl83920385/?ref_=bo_yld_table_23,Universal Pictures,"$12,453,275",-,"Dec 22, 2023",PG,1 hr 23 min,"['Adventure', 'Animation', 'Comedy', 'Family']",336 days/48 weeks,"3,839 theaters","Benjamin Renner

","
$127,306,285
","
$172,556,919
","
$299,863,204
"
Mean Girls,/release/rl615482113/?ref_=bo_yld_table_24,Paramount Pictures,"$28,635,307",-,"Jan 12, 2024",PG-13,1 hr 52 min,"['Comedy', 'Musical']",315 days/45 weeks,"3,826 theaters","Samantha Jayne

","
$72,404,248
","
$32,389,183
","
$104,793,431
"
Civil War,/release/rl172392449/?ref_=bo_yld_table_25,A24,"$25,537,368",-,"Apr 12, 2024",R,1 hr 49 min,"['Action', 'Adventure', 'Thriller']",224 days/32 weeks,"3,929 theaters","Alex Garland

","
$68,603,430
","
$57,582,527
","
$126,185,957
"
Furiosa: A Mad Max Saga,/release/rl627344129/?ref_=bo_yld_table_26,Warner Bros.,"$26,326,462",-,"May 24, 2024",R,2 hr 28 min,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",182 days/26 weeks,"3,864 theaters","George Miller

","
$67,475,791
","
$106,300,000
","
$173,775,791
"
Smile 2,/release/rl665813761/?ref_=bo_yld_table_27,Paramount Pictures,"$23,021,692",-,"Oct 18, 2024",R,2 hr 7 min,"['Horror', 'Mystery', 'Thriller']",35 days/5 weeks,"3,624 theaters","Parker Finn

","
$66,649,010
","
$66,200,000
","
$132,849,010
"
